"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
99,"Astra","Alameda","San Francisco Bay Area","California","USA","North America","40","2020-04-05","25","160","120","AEROSPACE","Unknown","100",2020,"37.6090291","-121.899142","Aerospace","Small","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Unknown / Other","Medium ($50–200M)",0
1297,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","117","2023-08-01","10","1170","1053","AEROSPACE","Post-IPO","574",2023,"37.7792588","-122.4193286","Aerospace","Medium","Low (≤10%)","2023-08","Q3","2023-08","10.0","Public","High (>$200M)",0
1856,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","180","2024-06-26","17","1059","879","AEROSPACE","Post-IPO","574",2024,"37.7792588","-122.4193286","Aerospace","Medium","Medium (11–25%)","2024-06","Q2","2024-06","17.0","Public","High (>$200M)",0
2079,"Lilium","Munich","other","Bayern","Germany","Europe","1000","2024-12-23","100","1000","0","AEROSPACE","Post-IPO","1",2024,"48.1371079","11.5753822","Aerospace","Large","Very High (>50%)","2024-12","Q4","2024-12","100.0","Public","Low (<$50M)",1
702,"Kitty Hawk","Palo Alto","San Francisco Bay Area","California","USA","North America","100","2022-09-21","100","100","0","AEROSPACE","Unknown","1",2022,"37.4443293","-122.1598465","Aerospace","Medium","Very High (>50%)","2022-09","Q3","2022-09","100.0","Unknown / Other","Low (<$50M)",0
1280,"Sarcos","Salt Lake City","other","Utah","USA","North America","75","2023-07-17","25","300","225","AEROSPACE","Post-IPO","316",2023,"40.7596198","-111.886797","Aerospace","Medium","Medium (11–25%)","2023-07","Q3","2023-07","25.0","Public","High (>$200M)",0
1719,"True Anomaly","Denver","other","Colorado","USA","North America","30","2024-04-26","25","120","90","AEROSPACE","Series B","158",2024,"39.7392364","-104.984862","Aerospace","Small","Medium (11–25%)","2024-04","Q2","2024-04","25.0","Early Stage","Medium ($50–200M)",0
1857,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","180","2024-06-26","17","1059","879","AEROSPACE","Post-IPO","574",2024,"37.7792588","-122.4193286","Aerospace","Medium","Medium (11–25%)","2024-06","Q2","2024-06","17.0","Public","High (>$200M)",0
1818,"Satellogic","Montevideo","other","non","Uruquay","South America","70","2024-06-17","30","233","163","AEROSPACE","Post-IPO","424",2024,"-34.901112","-56.164532","Aerospace","Medium","High (26–50%)","2024-06","Q2","2024-06","30.0","Public","High (>$200M)",0
1775,"Satellogic","Montevideo","other","non","Uruquay","South America","34","2024-05-24","13","262","228","AEROSPACE","Post-IPO","424",2024,"-34.901112","-56.164532","Aerospace","Small","Medium (11–25%)","2024-05","Q2","2024-05","13.0","Public","High (>$200M)",0
